Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Footprint~String~Footprint~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SYNCBOX_V3I1.PrjPcb|ReportField=ProjectFullPath~C:\Users\Altay\Documents\Altium\Projects\SyncBox\Work\Bogazici University\SyncBox\V3I1\Circuit\SYNCBOX_V3I1.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [SYNCBOX.PcbDoc]|ReportField=TotalQuantity~277|ReportField=ReportTime~7:45:39 PM|ReportField=ReportDate~8/16/2018|ReportField=ReportDateTime~8/16/2018 7:45:39 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Company~(c) 2018 Bogazici University www.boun.edu.tr|ReportField=NotFitted~NF|ReportField=Project~SYNCBOX|ReportField=VariantName~Default|ReportField=VersionRevision~V3I1|ReportField=ZERORESISTANCE~ZR|ReportField=DataSourceFileName~SYNCBOX.PcbDoc|ReportField=DataSourceFullPath~C:\Users\Altay\Documents\Altium\Projects\SyncBox\Work\Bogazici University\SyncBox\V3I1\Circuit\SYNCBOX.PcbDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
48|0395321012|TERM BLOCK HDR 12POS 5.08MM|WM7852-ND|{URL}{URL.TEXT}Molex,%20LLC{URL.TIP}Component|{URL}{URL.TEXT}0395321012{URL.TIP}Manufacturer|Digi-Key|1
49|Plug|TERM BLOCK HDR 5POS 90DEG 5MM|691313710005|{URL}{URL.TEXT}Wurth%20Electronics%20Inc.{URL.TIP}Component|{URL}{URL.TEXT}691313710005{URL.TIP}Manufacturer|Digi-Key|1
50|2N7002BKW,115|MOSFET N-CH 60V 310MA SOT323|SC70_SOT323|{URL}{URL.TEXT}Loading...{URL.TIP}Component|{URL}{URL.TEXT}Loading...{URL.TIP}Manufacturer|Digi-Key|3
51|SI4816BDY-T1-GE3|MOSFET DL N-CH 30V 6.8A 8-SOIC|8_SOIC_3.9MM|{URL}{URL.TEXT}Vishay%20Siliconix{URL.TIP}Component|{URL}{URL.TEXT}SI4816BDY-T1-GE3{URL.TIP}Manufacturer|Digi-Key|2
52|MOSFET N-CH 20V 1A SOT323|MOSFET N-CH 20V 1A SOT323|SC70_SOT323|{URL}{URL.TEXT}Diodes%20Incorporated{URL.TIP}Component|{URL}{URL.TEXT}DMG1012UW-7{URL.TIP}Manufacturer|Digi-Key|1
53|MMBT2222AWT3G|TRANS NPN 40V 0.6A SC70-3|SC70_SOT323|{URL}{URL.TEXT}ON%20Semiconductor{URL.TIP}Component|{URL}{URL.TEXT}MMBT2222AWT3G{URL.TIP}Manufacturer|Digi-Key|2
54|240R|RES TF 240 OHM 1% 0.0625W 0402|R0402|{URL}{URL.TEXT}Stackpole%20Electronics%20Inc.{URL.TIP}Component|{URL}{URL.TEXT}RMCF0402FT240R{URL.TIP}Manufacturer|Digi-Key|14
55|0R|RES SMD 0 OHM JUMPER 1/16W 0402|R0402|{URL}{URL.TEXT}Samsung%20Electro-Mechanics{URL.TIP}Component|{URL}{URL.TEXT}RC1005J000CS{URL.TIP}Manufacturer|Digi-Key|15
56|47k5|RES 47.5K OHM 1/16W 1% 0402 SMD|R0402|{URL}{URL.TEXT}Yageo{URL.TIP}Component|{URL}{URL.TEXT}RC0402FR-0747K5L{URL.TIP}Manufacturer|Digi-Key|5
57|75R|RES SMD 75 OHM 1% 1/16W 0402|R0402|{URL}{URL.TEXT}Samsung%20Electro-Mechanics{URL.TIP}Component|{URL}{URL.TEXT}RC1005F750CS{URL.TIP}Manufacturer|Digi-Key|4
58|10K|RES SMD 10K OHM 1% 1/16W 0402|R0402|{URL}{URL.TEXT}Samsung%20Electro-Mechanics{URL.TIP}Component|{URL}{URL.TEXT}RC1005F103CS{URL.TIP}Manufacturer|Digi-Key|2
59|2K2|RES SMD 2.2K OHM 1% 1/16W 0402|R0402|{URL}{URL.TEXT}Samsung%20Electro-Mechanics{URL.TIP}Component|{URL}{URL.TEXT}RC1005F222CS{URL.TIP}Manufacturer|Digi-Key|4
60|100K|RES SMD 100K OHM 1% 1/8W 0805|STA_RNCP0805-M|{URL}{URL.TEXT}Samsung%20Electro-Mechanics{URL.TIP}Component|{URL}{URL.TEXT}RC2012F104CS{URL.TIP}Manufacturer|Digi-Key|1
61|20K|RES SMD 20K OHM 1% 1/8W 0805|STA_RNCP0805|{URL}{URL.TEXT}Samsung%20Electro-Mechanics{URL.TIP}Component|{URL}{URL.TEXT}RC2012F203CS{URL.TIP}Manufacturer|Digi-Key|1
62|4K7|RES SMD 4.7K OHM 1% 1/8W 0805|RES0805_CRG_TYCO|{URL}{URL.TEXT}TE%20Connectivity%20Passive%20Product{URL.TIP}Component|{URL}{URL.TEXT}CRG0805F4K7{URL.TIP}Manufacturer|Digi-Key|2
63|1R|RES 1.00 OHM 1/16W 1% 0402 SM|R0402|{URL}{URL.TEXT}Yageo{URL.TIP}Component|{URL}{URL.TEXT}RC0402FR-071RL{URL.TIP}Manufacturer|Digi-Key|2
64|200K|RES SMD 200K OHM 1% 1/16W 0402|R0402|{URL}{URL.TEXT}Samsung%20Electro-Mechanics{URL.TIP}Component|{URL}{URL.TEXT}RC1005F204CS{URL.TIP}Manufacturer|Digi-Key|3
65|33R|RES SMD 33 OHM 1% 1/10W 0402|R0402|{URL}{URL.TEXT}Panasonic%20Electronic%20Components{URL.TIP}Component|{URL}{URL.TEXT}ERJ-2RKF33R0X{URL.TIP}Manufacturer|Digi-Key|2
66|1K|RES SMD 1K OHM 1% 1/10W 0402|R0402|{URL}{URL.TEXT}Panasonic%20Electronic%20Components{URL.TIP}Component|{URL}{URL.TEXT}ERJ-2RKF1001X{URL.TIP}Manufacturer|Digi-Key|12
67|10R|RES 10.0 OHM 1/16W 1% 0402 SMD|R0402|{URL}{URL.TEXT}Yageo{URL.TIP}Component|{URL}{URL.TEXT}RC0402FR-0710RL{URL.TIP}Manufacturer|Digi-Key|5
68|120R|RES 0.12 OHM 1% 1/2W 1206, Imported|RES_1632|{URL}{URL.TEXT}Susumu{URL.TIP}Component|{URL}{URL.TEXT}RL1632R-R120-F{URL.TIP}Manufacturer|Digi-Key|2
69|4k99|RES TF 4.99K OHM 1% 1/16W 0402|R0402|{URL}{URL.TEXT}Stackpole%20Electronics%20Inc.{URL.TIP}Component|{URL}{URL.TEXT}RMCF0402FT4K99{URL.TIP}Manufacturer|Digi-Key|1
